id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kualitas_udara,periode_update,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,91.89,2023,INDEKS,2023
2,22,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,92.24,2023,INDEKS,2023
3,33,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,86.59,2023,INDEKS,2023
4,44,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,85.42,2023,INDEKS,2023
5,55,35,JAWA TIMUR,3505,KABUPATEN BLITAR,82.07,2023,INDEKS,2023
6,66,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,86.12,2023,INDEKS,2023
7,77,35,JAWA TIMUR,3507,KABUPATEN MALANG,83.45,2023,INDEKS,2023
8,88,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,85.24,2023,INDEKS,2023
9,99,35,JAWA TIMUR,3509,KABUPATEN JEMBER,85.96,2023,INDEKS,2023
10,1010,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,88.02,2023,INDEKS,2023
11,1111,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,86.75,2023,INDEKS,2023
12,1212,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,89.7,2023,INDEKS,2023
13,1313,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,83.64,2023,INDEKS,2023
14,1414,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,83.46,2023,INDEKS,2023
15,1515,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,81.98,2023,INDEKS,2023
16,1616,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,71.23,2023,INDEKS,2023
17,1717,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,81.98,2023,INDEKS,2023
18,1818,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,81.89,2023,INDEKS,2023
19,1919,35,JAWA TIMUR,3519,KABUPATEN MADIUN,82.92,2023,INDEKS,2023
20,2020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,89.9,2023,INDEKS,2023
21,2121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,85.22,2023,INDEKS,2023
22,2222,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,87.18,2023,INDEKS,2023
23,2323,35,JAWA TIMUR,3523,KABUPATEN TUBAN,86.99,2023,INDEKS,2023
24,2424,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,84.12,2023,INDEKS,2023
25,2525,35,JAWA TIMUR,3525,KABUPATEN GRESIK,81.24,2023,INDEKS,2023
26,2626,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,74.24,2023,INDEKS,2023
27,2727,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,88.43,2023,INDEKS,2023
28,2828,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,85.53,2023,INDEKS,2023
29,2929,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,88.65,2023,INDEKS,2023
30,3030,35,JAWA TIMUR,3571,KOTA KEDIRI,88.44,2023,INDEKS,2023
31,3131,35,JAWA TIMUR,3572,KOTA BLITAR,85.83,2023,INDEKS,2023
32,3232,35,JAWA TIMUR,3573,KOTA MALANG,81.74,2023,INDEKS,2023
33,3333,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,91.64,2023,INDEKS,2023
34,3434,35,JAWA TIMUR,3575,KOTA PASURUAN,82.1,2023,INDEKS,2023
35,3535,35,JAWA TIMUR,3576,KOTA MOJOKERTO,82.52,2023,INDEKS,2023
36,3636,35,JAWA TIMUR,3577,KOTA MADIUN,87.94,2023,INDEKS,2023
37,3737,35,JAWA TIMUR,3578,KOTA SURABAYA,70.15,2023,INDEKS,2023
38,3838,35,JAWA TIMUR,3579,KOTA BATU,87.23,2023,INDEKS,2023
39,3939,35,JAWA TIMUR,3501,KABUPATEN PACITAN,92.06,2024,INDEKS,2024
40,4040,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,94.09,2024,INDEKS,2024
41,4141,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,94.84,2024,INDEKS,2024
42,4242,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,91.42,2024,INDEKS,2024
43,4343,35,JAWA TIMUR,3505,KABUPATEN BLITAR,88.06,2024,INDEKS,2024
44,4444,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,94.31,2024,INDEKS,2024
45,4545,35,JAWA TIMUR,3507,KABUPATEN MALANG,91.14,2024,INDEKS,2024
46,4646,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,92.07,2024,INDEKS,2024
47,4747,35,JAWA TIMUR,3509,KABUPATEN JEMBER,92.37,2024,INDEKS,2024
48,4848,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,87.02,2024,INDEKS,2024
49,4949,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,91.22,2024,INDEKS,2024
50,5050,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,86.61,2024,INDEKS,2024
51,5151,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,88.71,2024,INDEKS,2024
52,5252,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,80.52,2024,INDEKS,2024
53,5353,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,71.91,2024,INDEKS,2024
54,5454,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,84.76,2024,INDEKS,2024
55,5555,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,86.04,2024,INDEKS,2024
56,5656,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,88.18,2024,INDEKS,2024
57,5757,35,JAWA TIMUR,3519,KABUPATEN MADIUN,91.61,2024,INDEKS,2024
58,5858,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,93.82,2024,INDEKS,2024
59,5959,35,JAWA TIMUR,3521,KABUPATEN NGAWI,81.71,2024,INDEKS,2024
60,6060,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,89.05,2024,INDEKS,2024
61,6161,35,JAWA TIMUR,3523,KABUPATEN TUBAN,89.89,2024,INDEKS,2024
62,6262,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,81.41,2024,INDEKS,2024
63,6363,35,JAWA TIMUR,3525,KABUPATEN GRESIK,82.94,2024,INDEKS,2024
64,6464,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,80.23,2024,INDEKS,2024
65,6565,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,91.18,2024,INDEKS,2024
66,6666,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,93.41,2024,INDEKS,2024
67,6767,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,90.83,2024,INDEKS,2024
68,6868,35,JAWA TIMUR,3571,KOTA KEDIRI,88.95,2024,INDEKS,2024
69,6969,35,JAWA TIMUR,3572,KOTA BLITAR,89.79,2024,INDEKS,2024
70,7070,35,JAWA TIMUR,3573,KOTA MALANG,88.36,2024,INDEKS,2024
71,7171,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,90.74,2024,INDEKS,2024
72,7272,35,JAWA TIMUR,3575,KOTA PASURUAN,87.12,2024,INDEKS,2024
73,7373,35,JAWA TIMUR,3576,KOTA MOJOKERTO,79.22,2024,INDEKS,2024
74,7474,35,JAWA TIMUR,3577,KOTA MADIUN,92.12,2024,INDEKS,2024
75,7575,35,JAWA TIMUR,3578,KOTA SURABAYA,85.68,2024,INDEKS,2024
76,7676,35,JAWA TIMUR,3579,KOTA BATU,83.95,2024,INDEKS,2024
